"name","category","BulkyDay","SampleAddress"
"The Terraces at Encino Creek Owners Association","rich","*Week of 09/27/2021","3519 Bent Hollow, San Antonio, TX 78259, USA"
"San Antonio Steubing Ranch",,"*Week of 09/27/2021","15926 Drexel Run, San Antonio, TX 78247, USA"
"Las Lomas/ Stone Oak","rich","*Week of 09/27/2021","21022 El Suelo Bueno, San Antonio, TX 78258, USA"
"San Antonio St. James Place",,"*Week of 09/27/2021","14115 Wetmore Bend, San Antonio, TX 78247, USA"
"Champions Springs-Sundance at Stone Oak/ Stone Oak",,"*Week of 09/27/2021","22023 Oriole Hill Dr, San Antonio, TX 78258, USA"
"Cavalo Creek Estates",,"*Week of 09/27/2021","21518 Roan Bluff, San Antonio, TX 78259, USA"
"Longs Creek","normies","*Week of 09/27/2021","15807 Pleasant Well Dr, San Antonio, TX 78247, USA"
"Longs Ridge","normies","*Week of 09/27/2021","15839 Kenna Mist, San Antonio, TX 78247, USA"
"San Antonio Remington Heights","rich","*Week of 09/27/2021","22710 Wichita Pass, San Antonio, TX 78258, USA"
"The Villas of Spring Creek HOA",,"*Week of 09/27/2021","5118 Spring Ash, San Antonio, TX 78247, USA"
"Northern Hills","normies","*Week of 09/27/2021","4450 Brushy Hill, San Antonio, TX 78217, USA"
"Vistas of Encino Park",,"*Week of 09/27/2021","21714 Lawrey Dr, San Antonio, TX 78259, USA"
"Mesa Vista/ Stone Oak",,"*Week of 09/27/2021","23103 Hardy Oak Blvd, San Antonio, TX 78258, USA"
"High Country","normies","*Week of 09/27/2021","15302 Judson Rd, San Antonio, TX 78247, USA"
"Thousand Oaks Condominiums/ Thousand Oaks","normies","*Week of 09/27/2021","16465 Henderson Pass, San Antonio, TX 78232, USA"
"Canyon View","normies","*Week of 09/27/2021","17439 Emerald Canyon Dr, San Antonio, TX 78232, USA"
"Redland Springs","normies","*Week of 09/27/2021","16427 Encanto Pass, San Antonio, TX 78247, USA"
"Spring Creek Neighborhood Alliance","normies","*Week of 09/27/2021","5902 Spring Crossing, San Antonio, TX 78247, USA"
"Villas at Redland Ranch",,"*Week of 09/27/2021","3356 Tumblewood Trail, San Antonio, TX 78247, USA"
"The Overlook",,"*Week of 09/27/2021","515 Texas Point, San Antonio, TX 78260, USA"
"Green Spring Valley","normies","*Week of 09/27/2021","3531 Green Spring, San Antonio, TX 78247, USA"
"Gold Canyon",,"*Week of 09/27/2021","2314 Ruby Oaks, San Antonio, TX 78232, USA"
"Fox Run","normies","*Week of 09/27/2021","16245 Nacogdoches Rd, San Antonio, TX 78247, USA"
"Santa Fe Trails","normies","*Week of 10/04/2021","1811 Fieldstone Rd, San Antonio, TX 78232, USA"
"Ridgestone","normies","*Week of 10/04/2021","13827 Chevy Oak, San Antonio, TX 78247, USA"
"Ridgestone No. 9","normies","*Week of 10/04/2021","3106 Stoney Mist, San Antonio, TX 78247, USA"
"Sun Gate","normies","*Week of 10/04/2021","9707 Cobb St, San Antonio, TX 78217, USA"
"Shearer Hills - Ridgeview","normies","*Week of 10/04/2021","7551 McCullough Ave, San Antonio, TX 78216, USA"
"Woodmont",,"*Week of 10/04/2021","8800 Starcrest Dr, San Antonio, TX 78217, USA"
"Bluff Creek",,"*Week of 10/04/2021","34 Morgans Bluff, San Antonio, TX 78216, USA"
"The Oaks/ Oak Park - Northwood",,"*Week of 10/04/2021","2300 Nacogdoches Rd, San Antonio, TX 78209, USA"
"San Antonio Cambridge Village/ East Terrell Hills",,"*Week of 10/04/2021","4103 Cape Cod, San Antonio, TX 78218, USA"
"Royal Ridge","normies","*Week of 10/04/2021","6006 Crown Way, San Antonio, TX 78239, USA"
"Bitters Enclave",,"*Week of 10/04/2021","12474 Starcrest Dr, San Antonio, TX 78216, USA"
"Shady Oaks","normies","*Week of 10/04/2021","207 Rio Seco, San Antonio, TX 78232, USA"
"Blossom Park","normies","*Week of 10/04/2021","12102 Apricot Dr, San Antonio, TX 78247, USA"
"North Central","normies","*Week of 10/04/2021","502 Green Meadow Blvd, San Antonio, TX 78213, USA"
"The Bluffs of Henderson Pass",,"*Week of 10/04/2021","2327 Goat Creek Run, San Antonio, TX 78232, USA"
"Perrin Park",,"*Week of 10/04/2021","4123 First View Dr, San Antonio, TX 78217, USA"
"Terrell Heights","normies","*Week of 10/04/2021","160 Chevy Chase Dr, San Antonio, TX 78209, USA"
"Lorrence Creek","normies","*Week of 10/04/2021","2114 Green Creek St, San Antonio, TX 78232, USA"
"Hill Country Villas",,"*Week of 10/04/2021","13021 Trent St, San Antonio, TX 78232, USA"
"Hampshire House",,"*Week of 10/04/2021","7809 Broadway, San Antonio, TX 78209, USA"
"Monterrey Village HOA","normies","*Week of 10/04/2021","6630 Buckhorn Cliff, San Antonio, TX 78233, USA"
"General Krueger","rich","*Week of 10/04/2021","506 Cicero Ave, San Antonio, TX 78218, USA"
"Gardens at Brookhollow",,"*Week of 10/04/2021","550 Heimer Rd, San Antonio, TX 78232, USA"
"North Central Thousand Oaks","normies","*Week of 10/04/2021","2526 Moss Branch, San Antonio, TX 78232, USA"
"Forest Oak",,"*Week of 10/04/2021","3200 Nacogdoches Rd, San Antonio, TX 78217, USA"
"Countryside San Pedro","normies","*Week of 10/04/2021","12815 Country Creek, San Antonio, TX 78216, USA"
"North Shearer Hills","normies","*Week of 10/04/2021","355 Ave Maria Dr, San Antonio, TX 78216, USA"
"Wilshire Village","rich","*Week of 10/04/2021","1314 Austin Hwy, San Antonio, TX 78209, USA"
"North Central Heritage",,"*Week of 10/04/2021","13303 Jones Maltsberger Rd, San Antonio, TX 78247, USA"
"Hunters Mill",,"*Week of 10/04/2021","13506 Hickory Tavern, San Antonio, TX 78247, USA"
"Oak Park - Northwood","rich","*Week of 10/04/2021","238 Rockhill Dr, San Antonio, TX 78209, USA"
"Whisper Hollow/ North Central Thousand Oaks","normies","*Week of 10/04/2021","14206 Silverhollow, San Antonio, TX 78232, USA"
"East Terrell Hills","normies","*Week of 10/04/2021","4306 Judivan, San Antonio, TX 78218, USA"
"Wilshire","normies","*Week of 10/04/2021","6944 S Sunbelt Dr, San Antonio, TX 78218, USA"
"The Park-Waters",,"*Week of 10/11/2021","30 Imperial Way, San Antonio, TX 78248, USA"
"Dellview Area","hipsters","*Week of 10/11/2021","330 Savannah Dr, San Antonio, TX 78213, USA"
"The Park at Deerfield","rich","*Week of 10/11/2021","1207 Fawn Haven, San Antonio, TX 78248, USA"
"Hunters Creek North","rich","*Week of 10/11/2021","13211 Hunters Lark, San Antonio, TX 78230, USA"
"Hunters Creek","normies","*Week of 10/11/2021","13050 N Hunters Cir, San Antonio, TX 78230, USA"
"Vista Del Norte","normies","*Week of 10/11/2021","1307 Vista Del Rio, San Antonio, TX 78216, USA"
"Devonshire Condominiums",,"*Week of 10/11/2021","11843 Braesview, San Antonio, TX 78213, USA"
"Hills and Dales","rich","*Week of 10/11/2021","15810 Purple Sage Rd, San Antonio, TX 78255, USA"
"Deer Hollow",,"*Week of 10/11/2021","1907 Doe Crest, San Antonio, TX 78248, USA"
"Hidden Forest","rich","*Week of 10/11/2021","15701 Horse Creek St, San Antonio, TX 78232, USA"
"Walden Meadows/ Crownridge of Texas",,"*Week of 10/11/2021","6627 Shady Bend Dr, San Antonio, TX 78256, USA"
"Whispering Oaks","normies","*Week of 10/11/2021","11515 Whisper Forest, San Antonio, TX 78230, USA"
"Wellsprings/ Vance Jackson",,"*Week of 10/11/2021","3475 Wellsprings Dr, San Antonio, TX 78230, USA"
"Greystone Country Estates","rich","*Week of 10/11/2021","1515 Greystone Ridge, San Antonio, TX 78258, USA"
"Greater Harmony Hills","normies","*Week of 10/11/2021","8134 Blanco Rd, San Antonio, TX 78216, USA"
"Elm Creek","normies","*Week of 10/11/2021","12110 Windemere, San Antonio, TX 78230, USA"
"Woods of Shavano","rich","*Week of 10/11/2021","4202 Shadow Oak Woods, San Antonio, TX 78249, USA"
"The Seventh at Sonterra/ The Vineyard",,"*Week of 10/11/2021","1203 Rheims Pl, San Antonio, TX 78258, USA"
"Woods of Deerfield",,"*Week of 10/11/2021","16719 Huebner Rd, San Antonio, TX 78248, USA"
"Friends of Friedrich Wilderness Park","rich","*Week of 10/11/2021","7620 Heuermann Rd, San Antonio, TX 78256, USA"
"Forests at Inwood",,"*Week of 10/11/2021","2055 W Bitters Rd, San Antonio, TX 78248, USA"
"Forest Crest","rich","*Week of 10/11/2021","5947 Old Camp Bullis Rd, San Antonio, TX 78257, USA"
"The Fountains at Deerfield",,"*Week of 10/11/2021","17307 Fountain View, San Antonio, TX 78248, USA"
"College Park","uni","*Week of 10/11/2021","7534 Rainlilly Cove, San Antonio, TX 78249, USA"
"Crownridge of Texas Owners Association","rich","*Week of 10/11/2021","6929 Camp Bullis Rd, San Antonio, TX 78256, USA"
"Shavano Forest",,"*Week of 10/11/2021","4043 Legend Ranch Dr, San Antonio, TX 78230, USA"
"Shavano Garden Homes","normies","*Week of 10/11/2021","14010 Red Maple Wood, San Antonio, TX 78249, USA"
"Regency Meadow","uni","*Week of 10/11/2021","6323 Regency Manor, San Antonio, TX 78249, USA"
"Woodthorn",,"*Week of 10/11/2021","13207 Woodthorn Way, San Antonio, TX 78249, USA"
"Vance Jackson","normies","*Week of 10/11/2021","10226 Ironside Dr, San Antonio, TX 78230, USA"
"Oak Meadow","rich","*Week of 10/11/2021","2715 Indian Ridge Dr, San Antonio, TX 78231, USA"
"The Waters at Deerfield",,"*Week of 10/11/2021","31 Imperial Way, San Antonio, TX 78248, USA"
"Oak Valley",,"*Week of 10/11/2021","9427 Callaghan Rd, San Antonio, TX 78230, USA"
"Blanco Woods",,"*Week of 10/11/2021","16823 Summer Creek Dr, San Antonio, TX 78248, USA"
"Cadillac Drive","rich","*Week of 10/11/2021","14935 Cadillac Dr, San Antonio, TX 78248, USA"
"Bluffview at Camino Real","rich","*Week of 10/11/2021","411 Ridge Bluff, San Antonio, TX 78216, USA"
"Provincia Villas",,"*Week of 10/11/2021","6716 Sangria Dawn, San Antonio, TX 78249, USA"
"Oakwood","rich","*Week of 10/11/2021","15006 Whiteoak Peak, San Antonio, TX 78248, USA"
"Owners Association of Westfield",,"*Week of 10/11/2021","7003 Scenic Sunset, San Antonio, TX 78249, USA"
"Oxbow","normies","*Week of 10/11/2021","11603 Spring Mont Dr, San Antonio, TX 78249, USA"
"Woodland Park",,"*Week of 10/11/2021","4907 Haven Oak, San Antonio, TX 78249, USA"
"Oakland Heights","normies","*Week of 10/11/2021","5118 Casbury, San Antonio, TX 78249, USA"
"Shavano Heights",,"*Week of 10/11/2021","4015 Heights View Dr, San Antonio, TX 78230, USA"
"Ridge at Deerfield",,"*Week of 10/11/2021","1440 W Bitters Rd, San Antonio, TX 78248, USA"
"Canyon Creek Bluffs","rich","*Week of 10/11/2021","1314 Canyon Brook, San Antonio, TX 78248, USA"
"Huntington Place","normies","*Week of 10/11/2021","14118 Daylight Ridge, San Antonio, TX 78230, USA"
"Churchill Heights",,"*Week of 10/11/2021","1810 Enclave Park, San Antonio, TX 78213, USA"
"Churchill Estates","rich","*Week of 10/11/2021","14802 Nashwa, San Antonio, TX 78248, USA"
"Legend Hills/ Crownridge of Texas",,"*Week of 10/11/2021","7315 Washita Way, San Antonio, TX 78256, USA"
"The Vineyard",,"*Week of 10/11/2021","16818 Huebner Rd, San Antonio, TX 78258, USA"
"Ridgehaven Volunteer",,"*Week of 10/11/2021","6322 Bowman Ridge, San Antonio, TX 78249, USA"
"Maverick Creek",,"*Week of 10/11/2021","311 Agency Oaks, San Antonio, TX 78249, USA"
"Castle Wood Forest",,"*Week of 10/11/2021","3718 Hunters Bow, San Antonio, TX 78230, USA"
"Mission Ridge","rich","*Week of 10/11/2021","15919 Alsace, San Antonio, TX 78232, USA"
"Canyon Creek Village","rich","*Week of 10/11/2021","17625 Blanco Rd, San Antonio, TX 78232, USA"
"Canyon Creek Estates",,"*Week of 10/11/2021","201 Lariat Dr, San Antonio, TX 78232, USA"
"Castle Hills Forest","rich","*Week of 10/11/2021","13650 Wycliff Rise, San Antonio, TX 78231, USA"
"Woodlands of Camino Real",,"*Week of 10/11/2021","400 W Bitters Rd, San Antonio, TX 78216, USA"
"Woodridge","uni","*Week of 10/18/2021","5930 Woodridge Rock, San Antonio, TX 78249, USA"
"Village at Rustic Oaks",,"*Week of 10/18/2021","7802 Rustic Park, San Antonio, TX 78240, USA"
"Village in the Woods",,"*Week of 10/18/2021","8703 Redbud Woods, San Antonio, TX 78250, USA"
"Verde Hills","normies","*Week of 10/18/2021","8091 S Verde Dr, San Antonio, TX 78240, USA"
"Villas of Babcock (Summerwind)",,"*Week of 10/18/2021","47 Latrobe Post, San Antonio, TX 78240, USA"
"Woller Creek",,"*Week of 10/18/2021","13103 Woller Path, San Antonio, TX 78249, USA"
"Wynnwood Condominium",,"*Week of 10/18/2021","82 Chapel Hill Cir, San Antonio, TX 78240, USA"
"Tezel Heights",,"*Week of 10/18/2021","8202 Maloy Manor, San Antonio, TX 78250, USA"
"Parkwood Maintenance","normies","*Week of 10/18/2021","11042 Kimes Park Dr, San Antonio, TX 78249, USA"
"Echo Creek HOA/ Alamo Farmsteads-Babcock Road",,"*Week of 10/18/2021","6355 Whitby Rd, San Antonio, TX 78240, USA"
"Overlook of Carriage Hills",,"*Week of 10/18/2021","12615 Carriage Blvd, San Antonio, TX 78249, USA"
"Oakmont Downs","uni","*Week of 10/18/2021","12319 Stable Pass, San Antonio, TX 78249, USA"
"Oakland Estates","rich","*Week of 10/18/2021","5565 Encino Park Rd, San Antonio, TX 78240, USA"
"Eckhert Crossing",,"*Week of 10/18/2021","8302 Border Ridge Dr, San Antonio, TX 78240, USA"
"Oak Bluff","normies","*Week of 10/18/2021","7703 Allison Bluff, San Antonio, TX 78240, USA"
"Fieldstone",,"*Week of 10/18/2021","12503 Redrock Oak, San Antonio, TX 78249, USA"
"Guilbeau Park","normies","*Week of 10/18/2021","9122 Rue De Lis, San Antonio, TX 78250, USA"
"Northhampton/ Alamo Farmsteads-Babcock Road",,"*Week of 10/18/2021","8515 Sir Lancelot, San Antonio, TX 78240, USA"
"Hart Ranch Unit One",,"*Week of 10/18/2021","12302 Hart Ranch, San Antonio, TX 78249, USA"
"Mockingbird Hill","uni","*Week of 10/18/2021","7710 Mockingbird Ln, San Antonio, TX 78229, USA"
"Hunters Chase II","uni","*Week of 10/18/2021","7510 Tantivity, San Antonio, TX 78249, USA"
"Tezel Trails",,"*Week of 10/18/2021","9527 Vallecito Pass, San Antonio, TX 78250, USA"
"Hunters Chase Unit 6",,"*Week of 10/18/2021","7526 Beaver Tree, San Antonio, TX 78249, USA"
"Kensington Row",,"*Week of 10/18/2021","8415 Fredericksburg Rd, San Antonio, TX 78229, USA"
"Pembroke Farms/ Alamo Farmsteads-Babcock Road",,"*Week of 10/18/2021","6070 Babcock Rd, San Antonio, TX 78240, USA"
"Dreamhill Estates Neighborhood","uni","*Week of 10/18/2021","7003 Dorothy Louise Dr, San Antonio, TX 78229, USA"
"Braun Station West","normies","*Week of 10/18/2021","8619 Boutry Heights, San Antonio, TX 78254, USA"
"165 Association","uni","*Week of 10/18/2021","5003 Kenton Rapids, San Antonio, TX 78240, USA"
"Alamo Farmsteads-Babcock Road","normies","*Week of 10/18/2021","9531 Abe Lincoln, San Antonio, TX 78240, USA"
"Alamo Farmsteads-Babcock Road/ Owners Association of Westfield","normies","*Week of 10/18/2021","10418 Western Sun, San Antonio, TX 78240, USA"
"Stonefield","normies","*Week of 10/18/2021","11333 Bandera Rd, San Antonio, TX 78250, USA"
"Braun Hollow",,"*Week of 10/18/2021","7715 Braun Bend, San Antonio, TX 78250, USA"
"Braun Station East","normies","*Week of 10/18/2021","8706 Queen Heights, San Antonio, TX 78254, USA"
"Cypress Hollow HOA/ Eckhert Crossing",,"*Week of 10/18/2021","8018 Cypress Pass, San Antonio, TX 78240, USA"
"Silverbrook","normies","*Week of 10/18/2021","9503 Winding Elm Pl, San Antonio, TX 78254, USA"
"Jade Oaks",,"*Week of 10/18/2021","11235 Jade Green, San Antonio, TX 78249, USA"
"Sierra Vista",,"*Week of 10/18/2021","7902 Sierra Verde, San Antonio, TX 78240, USA"
"Braun Willow Unit2","normies","*Week of 10/18/2021","9535 Braun Square, San Antonio, TX 78254, USA"
"Cambridge",,"*Week of 10/18/2021","7702 Nature Pass, San Antonio, TX 78249, USA"
"Country View Village/ Alamo Farmsteads-Babcock Road",,"*Week of 10/18/2021","9924 Abe Lincoln, San Antonio, TX 78240, USA"
"Saddlebrook Farms","normies","*Week of 10/18/2021","9730 Keeneland Run, San Antonio, TX 78254, USA"
"Creekview Estates","normies","*Week of 10/18/2021","10942 Rocky Trail, San Antonio, TX 78249, USA"
"Quail Creek",,"*Week of 10/18/2021","8555 Quail Wood, San Antonio, TX 78250, USA"
"Woodglen","normies","*Week of 10/25/2021","2914 Wood Knoll, San Antonio, TX 78251, USA"
"Heritage","rich","*Week of 10/25/2021","900 S Ellison Dr, San Antonio, TX 78245, USA"
"Hidden Meadow","normies","*Week of 10/25/2021","9731 Hidden Swan, San Antonio, TX 78250, USA"
"Villas of Northwest Crossing/ Northwest Crossing",,"*Week of 10/25/2021","9532 Stillforest, San Antonio, TX 78250, USA"
"Westover Forest HOA","normies","*Week of 10/25/2021","9506 Portola Blvd, San Antonio, TX 78251, USA"
"Crown Meadows","normies","*Week of 10/25/2021","7827 Emerald Elm, San Antonio, TX 78251, USA"
"Northchase",,"*Week of 10/25/2021","5855 Rogers Rd, San Antonio, TX 78251, USA"
"Lindsey Place",,"*Week of 10/25/2021","4611 Everstone Creek, San Antonio, TX 78251, USA"
"Sierra Springs","normies","*Week of 10/25/2021","1000 Seascape Dr, San Antonio, TX 78251, USA"
"Misty Oaks","normies","*Week of 10/25/2021","7862 Lark Ridge, San Antonio, TX 78250, USA"
"Mountain View Acres Neighborhood Coalition","normies","*Week of 10/25/2021","5524 Rogers Rd, San Antonio, TX 78251, USA"
"North San Antonio Hills","normies","*Week of 10/25/2021","3542 Sunnydell Dr, San Antonio, TX 78253, USA"
"Northwest Crossing","normies","*Week of 10/25/2021","9715 Knob Oak, San Antonio, TX 78250, USA"
"Spring Vistas/ Sierra Springs","normies","*Week of 10/25/2021","1025 Lynx Bend, San Antonio, TX 78251, USA"
"Stonegate Hills at Westover Hill",,"*Week of 10/25/2021","4202 Alovette, San Antonio, TX 78251, USA"
"San Antonio Creekside","normies","*Week of 10/25/2021","5102 Senisa Springs, San Antonio, TX 78251, USA"
"Park Place","normies","*Week of 10/25/2021","711 Clover Creek, San Antonio, TX 78245, USA"
"Pipers Meadow","normies","*Week of 10/25/2021","3103 Meadow Run, San Antonio, TX 78251, USA"
"Lafayette Place",,"NEED NEW ADDRESS","7460 Callaghan Rd # 310, San Antonio, TX 78229, USA"
"Stone Oak Meadows",,"NEED NEW ADDRESS","20711 Wilderness Oak #106, San Antonio, TX 78258, USA"
"Arbor at Sonoma Ranch","uni","NEED NEW ADDRESS","8610 Redwood Bend, Helotes, TX 78023, USA"
"Auburn Oaks",,"NEED NEW ADDRESS","12000 Network Blvd # 130, San Antonio, TX 78249, USA"
"The Crossing at Quail Creek",,"NEED NEW ADDRESS","7715 Mainland Dr # 102, San Antonio, TX 78250, USA"
"Sunrise Neighborhood Coalition","normies","NEED NEW ADDRESS","Summer Fest & Mystic Sunrise, San Antonio, TX 78244, USA"
"The Heights at Stone Oak II",,"NEED NEW ADDRESS","23503 Hardy Oak Blvd #105, San Antonio, TX 78258, USA"
"Scattered Oaks","normies","NEED NEW ADDRESS","16170 Jones Maltsberger Rd # 1, San Antonio, TX 78247, USA"
"Thousand Oaks","normies","NEED NEW ADDRESS","2250 Thousand Oaks Dr #200, San Antonio, TX 78232, USA"
"Colonies Village/ Vance Jackson",,"NEED NEW ADDRESS","9110 I-10 #1, San Antonio, TX 78230, USA"
"Redland Estates",,"NEED NEW ADDRESS","2838 N Loop 1604 E #105, San Antonio, TX 78232, USA"
"Inwood Homeowners","rich","NEED NEW ADDRESS","4 Vintage Oaks, San Antonio, TX 78248, USA"
"Crownhill Park",,"NEED NEW ADDRESS","403 E Ramsey Rd # 201, San Antonio, TX 78216, USA"
"Pecan Valley","normies","NEED NEW ADDRESS","Building 5, 4045 E Southcross #26, San Antonio, TX 78222, USA"
"Oak Hills","rich","NEED NEW ADDRESS","Park, Oakridge Dr & Edgevale Dr, San Antonio, TX 78229, USA"
"Feather Ridge",,"NEED NEW ADDRESS","6203 Krempen Ave #101, San Antonio, TX 78233, USA"
"Northwood Hills Improvement Club",,"NEED NEW ADDRESS","3900 Ridgeway Dr #100, San Antonio, TX 78259, USA"
"Northwest Park","normies","NEED NEW ADDRESS","7664 Tezel Rd #101, San Antonio, TX 78250, USA"
"Lower Southeast Side","normies","NEED NEW ADDRESS","4619 Ida Dr, San Antonio, TX 78222, USA"
"San Antonio Tierra Del Sol",,"NEED NEW ADDRESS","2250 Thousand Oaks Dr #200, San Antonio, TX 78232, USA"
"Los Jardines","uni","NEED NEW ADDRESS","S.W. 34th & Spear, San Antonio, TX 78237, USA"
